K_values,Eigenvalues
0.521,0.052497369959461464 - 0.014919931386156549im
0.522,0.052586340121860746 - 0.014956813993499463im
0.523,0.0526752518866346 - 0.014993735497517058im
0.524,0.052764105086499355 - 0.015030695737406674im
0.525,0.05285289950527266 - 0.015067694355828554im
0.526,0.052941635667969146 - 0.015104731781590885im
0.527,0.05303031324516691 - 0.01514180708560442im
0.528,0.05311893253540557 - 0.015178920625208203im
0.529,0.05320749289013591 - 0.0152160722574731im
0.53,0.05329599477260632 - 0.01525326217297529im
0.531,0.05338443807987323 - 0.015290489013819375im
0.532,0.05347282301782524 - 0.015327753566150903im
0.533,0.053561149483517846 - 0.015365055996736566im
0.534,0.053649417271062254 - 0.01540239599587719im
0.535,0.05373762654516937 - 0.015439772634484327im
0.536,0.05382577753231749 - 0.015477186841644563im
0.537,0.053913869594250985 - 0.015514637712093826im
0.538,0.054001903544229825 - 0.015552125626996963im
0.539,0.054089878723411346 - 0.015589650371948593im
0.54,0.05417779535827242 - 0.01562721180401443im
0.541,0.05426565384000047 - 0.015664809470554354im
0.542,0.05435345333474884 - 0.01570244390248123im
0.543,0.05444119487195855 - 0.015740114197934158im
0.544,0.05452887731924407 - 0.015777820925252446im
0.545,0.05461650170604606 - 0.015815563267656874im
0.546,0.05470406741470052 - 0.01585334158248693im
0.547,0.054791574548151256 - 0.015891155393289225im
0.548,0.05487902343581964 - 0.015929005414749575im
0.549,0.05496641381005102 - 0.01596689045572397im
0.55,0.055053745526724 - 0.016004811516771866im
0.551,0.055141018977025454 - 0.01604276690647044im
0.552,0.05522823385212338 - 0.0160807580780169im
0.553,0.05531539020348922 - 0.016118784388193585im
0.554,0.055402488550991814 - 0.016156845062757517im
0.555,0.05548952799386917 - 0.016194940756837185im
0.556,0.055576509247583755 - 0.01623307093442028im
0.557,0.05566343189521159 - 0.016271235631238667im
0.558,0.05575029611175759 - 0.01630943491876291im
0.559,0.05583710229870371 - 0.01634766848729659im
0.56,0.05592384944719763 - 0.01638593600331865im
0.561,0.056010538638152925 - 0.01642423746683086im
0.562,0.05609716925390428 - 0.01646257299694535im
0.563,0.0561837419121172 - 0.01650094247455236im
0.564,0.056270255840710166 - 0.01653934506584953im
0.565,0.05635671138711968 - 0.016577781574856527im
0.566,0.05644310874951357 - 0.016616251721657527im
0.567,0.056529447698840385 - 0.01665475485707919im
0.568,0.0566157284795928 - 0.01669329104663646im
0.569,0.05670195066455352 - 0.016731860206947207im
0.57,0.05678811443902047 - 0.016770462909762963im
0.571,0.05687422035889289 - 0.016809098011583146im
0.572,0.05696026762120638 - 0.016847765512413737im
0.573,0.05704625684362637 - 0.016886466269869692im
0.574,0.05713218779967454 - 0.01692519878312071im
0.575,0.05721806018051951 - 0.01696396383831515im
0.576,0.0573038748097131 - 0.01700276117340138im
0.577,0.05738963091517571 - 0.01704159090749524im
0.578,0.05747532885721136 - 0.017080452564143478im
0.579,0.05756096868729113 - 0.017119345547768283im
0.58,0.05764655014805648 - 0.01715827093040545im
0.581,0.057732073342450514 - 0.017197226687109435im
0.582,0.057817538695117264 - 0.017236214991714682im
0.583,0.05790294585862118 - 0.01727523456374591im
0.584,0.0579882946656776 - 0.017314285111369364im
0.585,0.05807358545342843 - 0.017353367033621225im
0.586,0.05815881789245322 - 0.017392479782579073im
0.587,0.05824399247688333 - 0.0174316235011716im
0.588,0.05832910934054625 - 0.017470797712951125im
0.589,0.05841416758782699 - 0.017510003132593432im
0.59,0.0584991679161739 - 0.017549238598746946im
0.591,0.0585841103641892 - 0.017588504736753958im
0.592,0.05866899459473228 - 0.0176278013977214im
0.593,0.058753820944944246 - 0.017667127992037557im
0.594,0.05883858923687902 - 0.01770648471028302im
0.595,0.05892329965436557 - 0.01774587112364978im
0.596,0.05900795218858089 - 0.0177852877324149im
0.597,0.05909254663142938 - 0.017824733643222235im
0.598,0.059177082807906525 - 0.017864209570756805im
0.599,0.059261561726864864 - 0.017903714919450604im
0.6,0.05934598229538082 - 0.017943249669448984im
0.601,0.05943034535244966 - 0.017982813237096096im
0.602,0.059514650223786346 - 0.018022406301338733im
0.603,0.059598897508183424 - 0.018062028739092906im
0.604,0.05968308654679764 - 0.018101679287748123im
0.605,0.05976721838965933 - 0.018141359019336712im
0.606,0.05985129219262721 - 0.018181067290638887im
0.607,0.05993530807923344 - 0.0182208042445892im
0.608,0.06001926635831123 - 0.018260569738253095im
0.609,0.06010316685485482 - 0.018300363581050583im
0.61,0.06018700982622529 - 0.018340185534752963im
0.611,0.06027079468564085 - 0.018380035599358812im
0.612,0.06035452228753706 - 0.01841991353664003im
0.613,0.0604381919524831 - 0.018459819632467855im
0.614,0.060521804349615904 - 0.018499753505682115im
0.615,0.0606053588921545 - 0.018539714298659683im
0.616,0.06068885585804677 - 0.018579703297831606im
0.617,0.06077229554583169 - 0.01861971964557707im
0.618,0.060855677142249986 - 0.018659763389544892im
0.619,0.06093900160468339 - 0.018699833957982116im
0.62,0.06102226852135351 - 0.018739931619749153im
0.621,0.0611054777415219 - 0.018780056607973376im
0.622,0.061188629686523874 - 0.018820208039501195im
0.623,0.06127172440856641 - 0.018860386501401205im
0.624,0.06135476139954752 - 0.018900591763944874im
0.625,0.06143774106352216 - 0.01894082278489506im
0.626,0.06152066315599889 - 0.018981080904279857im
0.627,0.061603528230301886 - 0.019021364853537292im
0.628,0.0616863358206083 - 0.01906167531756626im
0.629,0.061769086204868484 - 0.01910201198667938im
0.63,0.061851779193369996 - 0.019142374462686313im
0.631,0.06193441481993825 - 0.019182762582238055im
0.632,0.06201699356252738 - 0.019223176430413096im
0.633,0.062099514796120296 - 0.019263616092293805im
0.634,0.062181979263384965 - 0.01930408111864921im
0.635,0.06226438605105972 - 0.019344571683046218im
0.636,0.06234673597240347 - 0.019385087475788154im
0.637,0.06242902882667402 - 0.01942562846113862im
0.638,0.06251126441313205 - 0.01946619446043112im
0.639,0.0625934431358323 - 0.01950678529499239im
0.64,0.06267556476057697 - 0.019547401500833228im
0.641,0.06275762928993996 - 0.019588042005931783im
0.642,0.0628396370906593 - 0.019628706988958022im
0.643,0.0629215875643727 - 0.01966939650946357im
0.644,0.06300348130944247 - 0.01971011062701411im
0.645,0.06308531820729965 - 0.019750849213981323im
0.646,0.06316709816970559 - 0.019791611759876798im
0.647,0.06324882128489893 - 0.01983239889430699im
0.648,0.06333048731757772 - 0.019873209613309406im
0.649,0.0634120970912959 - 0.01991404367865357im
0.65,0.06349364954572853 - 0.0199549023053045im
0.651,0.06357514539119045 - 0.019995784111539905im
0.652,0.0636565845865039 - 0.020036689812041607im
0.653,0.06373796742726531 - 0.020077618559403123im
0.654,0.06381929346934513 - 0.020118570870917018im
0.655,0.06390056240538033 - 0.020159546205463563im
0.656,0.06398177527804878 - 0.020200544886356475im
0.657,0.06406293131526894 - 0.020241566556246936im
0.658,0.0641440306508686 - 0.020282611096027914im
0.659,0.06422507366574082 - 0.020323678505697274im
0.66,0.06430606021576384 - 0.020364768427908242im
0.661,0.06438699040388196 - 0.02040588083884689im
0.662,0.06446786402420705 - 0.020447015762328036im
0.663,0.06454868100467752 - 0.020488173269825615im
0.664,0.0646294421276693 - 0.020529353123105665im
0.665,0.06471014648212667 - 0.020570554536022634im
0.666,0.06479079482468911 - 0.02061177858059864im
0.667,0.06487138660460531 - 0.020653024423036116im
0.668,0.0649519223439953 - 0.020694292119170843im
0.669,0.0650324014904992 - 0.020735581501497347im
0.67,0.06511282483324903 - 0.020776892261061164im
0.671,0.06519319191703743 - 0.020818224699375776im
0.672,0.06527350294775287 - 0.02085957912273186im
0.673,0.06535375777097974 - 0.020900954493133856im
0.674,0.06543395655142811 - 0.02094235065743888im
0.675,0.06551409910379939 - 0.020983768309907093im
0.676,0.06559418612811212 - 0.021025206545273im
0.677,0.06567421684199215 - 0.02106666588764187im
0.678,0.06575419186310431 - 0.021108146479946476im
0.679,0.06583411075025931 - 0.021149647301214585im
0.68,0.06591397364316642 - 0.02119116884150844im
0.681,0.0659937807469787 - 0.021232711146774184im
0.682,0.06607353248744399 - 0.02127427348701687im
0.683,0.06615322793549211 - 0.021315856213620088im
0.684,0.06623286775768511 - 0.021357458772704785im
0.685,0.06631245200292213 - 0.021399081849174273im
0.686,0.06639198045244706 - 0.021440725294140723im
0.687,0.066471453334207 - 0.021482387729276402im
0.688,0.06655087058202395 - 0.021524070192583178im
0.689,0.06663023221060395 - 0.021565772646624914im
0.69,0.06670953838318722 - 0.021607494182722498im
0.691,0.06678878880123597 - 0.02164923553939424im
0.692,0.06686798391770389 - 0.021690996073419733im
0.693,0.06694712379821847 - 0.02173277587413136im
0.694,0.06702620810177623 - 0.02177457486411196im
0.695,0.06710523693408035 - 0.02181639304590823im
0.696,0.06718421061774883 - 0.02185823003410357im
0.697,0.06726312894689403 - 0.021900086165616894im
0.698,0.06734199172543222 - 0.02194196077114727im
0.699,0.06742079960043947 - 0.021983854395214664im
0.7,0.06749955211896318 - 0.02202576584667355im
0.701,0.06757824962267954 - 0.02206769605008052im
0.702,0.06765689177481317 - 0.022109645141563154im
0.703,0.06773547897684774 - 0.02215161197762967im
0.704,0.06781401129496024 - 0.022193596772684794im
0.705,0.06789248852326266 - 0.022235600401364703im
0.706,0.0679709105735172 - 0.02227762160786411im
0.707,0.0680492778722074 - 0.022319659983796925im
0.708,0.06812759003696857 - 0.02236171699256362im
0.709,0.0682058476413469 - 0.022403791225213788im
0.71,0.06828405024782952 - 0.02244588320755016im
0.711,0.06836219778950368 - 0.022487992720068028im
0.712,0.06844029104617004 - 0.022530119499858392im
0.713,0.06851832941817905 - 0.02257226349162315im
0.714,0.06859631298531325 - 0.02261442484424799im
0.715,0.06867424199206408 - 0.0226566034684077im
0.716,0.06875211654137656 - 0.022698798411183496im
0.717,0.06882993627294555 - 0.02274101050637789im
0.718,0.06890770149560345 - 0.022783239753985107im
0.719,0.06898541232945246 - 0.022825485479027248im
0.72,0.06906306856860335 - 0.022867747562394847im
0.721,0.0691406708307217 - 0.02291002633760133im
0.722,0.06921821807950267 - 0.022952321479074732im
0.723,0.06929571139071258 - 0.022994633451353153im
0.724,0.06937315038713468 - 0.023036960380948886im
0.725,0.06945053499597362 - 0.023079304243449526im
0.726,0.06952786527972966 - 0.02312166406382188im
0.727,0.06960514162076764 - 0.023164039821647275im
0.728,0.06968236365878334 - 0.02320643118340726im
0.729,0.0697595317026083 - 0.023248838625557156im
0.73,0.06983664564929894 - 0.023291261552526105im
0.731,0.06991370551944383 - 0.02333369972608672im
0.732,0.06999071150863703 - 0.023376153527405387im
0.733,0.07006766361982018 - 0.02341862245960285im
0.734,0.07014456165886895 - 0.023461107155688766im
0.735,0.07022140574931715 - 0.023503606860135813im
0.736,0.07029819632647169 - 0.02354612135740957im
0.737,0.07037493288002289 - 0.023588650613475853im
0.738,0.07045161594381004 - 0.023631195513178226im
0.739,0.07052824496643838 - 0.02367375478845324im
0.74,0.07060482038735105 - 0.023716328670077936im
0.741,0.07068134255977498 - 0.023758917260798464im
0.742,0.07075781074058184 - 0.023801520073728266im
0.743,0.07083422557059937 - 0.02384413775208465im
0.744,0.07091058659429991 - 0.023886769652652084im
0.745,0.07098689443706849 - 0.023929415561025635im
0.746,0.07106314895478315 - 0.023972075953661093im
0.747,0.07113935019891703 - 0.024014749734712144im
0.748,0.0712154979121087 - 0.02405743757121274im
0.749,0.07129159239289677 - 0.024100139701394952im
0.75,0.07136763356554313 - 0.024142855265936625im
0.751,0.07144362177049958 - 0.024185584817858263im
0.752,0.07151955654378163 - 0.02422832804236741im
0.753,0.0715954381567212 - 0.024271084250304397im
0.754,0.07167126680638138 - 0.024313854105304573im
0.755,0.07174704235452448 - 0.024356637212583365im
0.756,0.07182276516586562 - 0.024399433276064197im
0.757,0.07189843516687457 - 0.024442242966183986im
0.758,0.07197405168841292 - 0.024485065163275976im
0.759,0.07204961591433953 - 0.02452790079642906im
0.76,0.07212512686668475 - 0.02457074862684916im
0.761,0.07220058546165083 - 0.02461361013156278im
0.762,0.07227599090656897 - 0.024656483666788187im
0.763,0.07235134413822981 - 0.024699370066324278im
0.764,0.0724266442198414 - 0.02474226861548834im
0.765,0.07250189231467374 - 0.024785179886030663im
0.766,0.0725770872054118 - 0.024828103264504648im
0.767,0.07265223009392778 - 0.024871039066573175im
0.768,0.07272732041660357 - 0.024913986666883402im
0.769,0.07280235809365683 - 0.02495694632152805im
0.77,0.07287734351627602 - 0.024999918268739662im
0.771,0.07295227686093571 - 0.02504290181424957im
0.772,0.07302715767026977 - 0.025085897135029178im
0.773,0.07310198651488373 - 0.025128904077932113im
0.774,0.07317676301241328 - 0.025171923170463018im
0.775,0.07325148730698035 - 0.025214953102365812im
0.776,0.07332615944233582 - 0.02525799467766665im
0.777,0.07340077949697459 - 0.025301047643239594im
0.778,0.07347534764204168 - 0.025344111865085228im
0.779,0.07354986394026904 - 0.0253871873543714im
0.78,0.07362432821632889 - 0.025430273333133968im
0.781,0.07369874054903806 - 0.025473370969437425im
0.782,0.07377310120380003 - 0.025516479278353366im
0.783,0.0738474100261977 - 0.025559598498113623im
0.784,0.07392166713755868 - 0.025602727898712097im
0.785,0.07399587260626725 - 0.025645868240786563im
0.786,0.07407002639629304 - 0.02568901902234977im
0.787,0.07414412862896283 - 0.025732180769208846im
0.788,0.07421817922633331 - 0.02577535206560544im
0.789,0.07429217833399661 - 0.025818534157135403im
0.79,0.07436612591996687 - 0.025861726658376605im
0.791,0.074440022453743 - 0.0259049290375744im
0.792,0.07451386700845912 - 0.025948141213894438im
0.793,0.07458766087349222 - 0.02599136363402348im
0.794,0.07466140317381557 - 0.026034596059721988im
0.795,0.07473509422855645 - 0.02607783782396318im
0.796,0.07480873442890329 - 0.026121089141145415im
0.797,0.07488232315719029 - 0.026164350392435587im
0.798,0.07495586112373273 - 0.026207621291955797im
0.799,0.07502934779322011 - 0.026250901363261175im
0.8,0.07510278379361271 - 0.02629419096368011im
0.801,0.07517616846753776 - 0.026337489684829025im
0.802,0.07524950250288406 - 0.026380797441628356im
0.803,0.0753227858217061 - 0.026424114348932697im
0.804,0.07539601814458573 - 0.026467440785360008im
0.805,0.07546919965167537 - 0.026510775549837322im
0.806,0.07554233069776393 - 0.026554119080539045im
0.807,0.07561541103946126 - 0.026597471760331004im
0.808,0.07568844097677702 - 0.026640833186492092im
0.809,0.07576141994498913 - 0.026684202899587412im
0.81,0.07583434872058992 - 0.02672758146114949im
0.811,0.07590722709585346 - 0.02677096773108545im
0.812,0.07598005514688441 - 0.026814362985622963im
0.813,0.07605283247992117 - 0.026857766173155894im
0.814,0.0761255599056505 - 0.026901177793954113im
0.815,0.07619823675836478 - 0.026944597387452203im
0.816,0.07627086350388695 - 0.026988025209743416im
0.817,0.07634344028597126 - 0.027031460703541628im
0.818,0.07641596707655349 - 0.027074903892956036im
0.819,0.07648844347451877 - 0.02711835494389308im
0.82,0.07656087004458983 - 0.027161813468381268im
0.821,0.07663324651322825 - 0.027205280119850704im
0.822,0.07670557339368488 - 0.027248753989629115im
0.823,0.07677785034624444 - 0.027292235399320398im
0.824,0.07685007723707836 - 0.027335723765269826im
0.825,0.07692225473532387 - 0.027379219909366804im
0.826,0.07699438239832218 - 0.027422723081186096im
0.827,0.07706646046578498 - 0.027466233093553276im
0.828,0.07713848887741653 - 0.027509750984461512im
0.829,0.07721046785564999 - 0.027553275150123735im
0.83,0.07728239713761048 - 0.027596805807500235im
0.831,0.07735427712220608 - 0.0276403437308248im
0.832,0.0774261077892154 - 0.027683888673372663im
0.833,0.07749788898789926 - 0.027727439269582606im
0.834,0.07756962108223794 - 0.027770997216826614im
0.835,0.07764130379097443 - 0.027814561443078922im
0.836,0.07771293735308545 - 0.027858132241870504im
0.837,0.07778452177739528 - 0.027901708936805925im
0.838,0.07785605709993351 - 0.02794529227234784im
0.839,0.07792754350342693 - 0.02798888156358655im
0.84,0.07799898089522488 - 0.028032476810530938im
0.841,0.07807036940915615 - 0.028076078108460932im
0.842,0.07814170900404158 - 0.02811968540973737im
0.843,0.07821299966223441 - 0.028163298693941234im
0.844,0.07828424178668687 - 0.028206917355292422im
0.845,0.07835543495385769 - 0.028250541618401747im
0.846,0.07842657963434858 - 0.028294171575161453im
0.847,0.078497675612913 - 0.028337807385834083im
0.848,0.07856872297939259 - 0.028381448426695145im
0.849,0.078639721932189 - 0.0284250946067786im
0.85,0.07871067246007209 - 0.028468746504337263im
0.851,0.0787815746170873 - 0.028512403279613685im
0.852,0.07885242826168622 - 0.028556065260172996im
0.853,0.07892323374130608 - 0.028599732499616514im
0.854,0.07899399118719938 - 0.028643404408323647im
0.855,0.0790647003214185 - 0.02868708124835395im
0.856,0.07913536105131266 - 0.028730763234108104im
0.857,0.07920597402542988 - 0.028774449579436024im
0.858,0.07927653875110949 - 0.028818140764192406im
0.859,0.07934705567836416 - 0.028861836543349666im
0.86,0.0794175246064531 - 0.02890553645235876im
0.861,0.0794879455794943 - 0.028949241379469547im
0.862,0.07955831889798758 - 0.02899295027307315im
0.863,0.07962864427368847 - 0.02903666341905069im
0.864,0.07969892237316147 - 0.029080381049669257im
0.865,0.07976915238228909 - 0.029124102646785666im
0.866,0.0798393349985181 - 0.029167828561781423im
0.867,0.07990947005456357 - 0.029211557811970934im
0.868,0.07997955755042685 - 0.029255291429672918im
0.869,0.0800495978464117 - 0.029299028771671943im
0.87,0.08011959047926949 - 0.029342770338248947im
0.871,0.08018953596372078 - 0.02938651466827018im
0.872,0.0802594340424053 - 0.02943026338168586im
0.873,0.08032928504253842 - 0.029474014914701537im
0.874,0.0803990887030832 - 0.029517770599690518im
0.875,0.08046884535860765 - 0.02956152932208576im
0.876,0.08053855502749531 - 0.029605290682004792im
0.877,0.0806082177656301 - 0.02964905626196419im
0.878,0.08067783338881558 - 0.029692824670878415im
0.879,0.08074740229081195 - 0.029736596077496458im
0.88,0.08081692436610287 - 0.029780370511594878im
0.881,0.0808863994474034 - 0.029824147645612403im
0.882,0.08095582791560678 - 0.029867928233935182im
0.883,0.0810252098045376 - 0.029911710898244386im
0.884,0.08109454504360612 - 0.02995549667653119im
0.885,0.08116383348721887 - 0.02999928515020365im
0.886,0.08123307572608017 - 0.03004307607762im
0.887,0.08130227150282941 - 0.03008686917291259im
0.888,0.08137142092041037 - 0.03013066500782724im
0.889,0.08144052411608135 - 0.030174463201197634im
0.89,0.08150958062659518 - 0.030218263824493885im
0.891,0.08157859142991929 - 0.030262066210676803im
0.892,0.08164755565103078 - 0.03030587050268574im
0.893,0.08171647390023899 - 0.030349677823592863im
0.894,0.08178534618931128 - 0.03039348611442705im
0.895,0.08185417249765696 - 0.030437296651412687im
0.896,0.08192295268409591 - 0.030481109087416768im
0.897,0.08199168713393433 - 0.030524923408822364im
0.898,0.08206037572216746 - 0.030568739254887234im
0.899,0.08212901870615535 - 0.03061255653032191im
0.9,0.08219761576677242 - 0.03065637547335225im
0.901,0.08226616717020194 - 0.03070019591381547im
0.902,0.08233467310615551 - 0.030744017409288265im
0.903,0.08240313357022153 - 0.030787840735712814im
0.904,0.08247154858445851 - 0.030831665157986167im
0.905,0.08253991773007197 - 0.030875490778979543im
0.906,0.08260824196319459 - 0.030919317421106502im
0.907,0.08267652069657629 - 0.030963145382762187im
0.908,0.08274475422547914 - 0.031006973710274544im
0.909,0.08281294243323385 - 0.03105080313533719im
0.91,0.08288108581911924 - 0.03109463367213028im
0.911,0.08294918397135896 - 0.031138464367739854im
0.912,0.08301723688995301 - 0.03118229641331034im
0.913,0.08308524510055922 - 0.031226128987448476im
0.914,0.08315320835418226 - 0.03126996217204603im
0.915,0.08322112671451867 - 0.031313795265817033im
0.916,0.08328900034563523 - 0.0313576289789836im
0.917,0.08335682924753235 - 0.03140146331154359im
0.918,0.08342461345881401 - 0.03144529753094383im
0.919,0.08349235299602442 - 0.031489132099177856im
0.92,0.08356004817498167 - 0.03153296683331845im
0.921,0.08362769851148076 - 0.031576801669558945im
0.922,0.08369530482613391 - 0.0316206362607673im
0.923,0.08376286628950437 - 0.03166447083155362im
0.924,0.08383038371338127 - 0.03170830540233993im
0.925,0.08389785695364299 - 0.031752139449023im
0.926,0.08396528576322185 - 0.03179597325747761im
0.927,0.08403267046859972 - 0.031839806705191265im
0.928,0.08410001109918788 - 0.031883639969127665im
0.929,0.08416730765498726 - 0.03192747280425122im
0.93,0.08423456064777687 - 0.03197130467965863im
0.931,0.08430176923157619 - 0.0320151358914309im
0.932,0.08436893402809492 - 0.032058966745861284im
0.933,0.08443605529211967 - 0.032102796242387835im
0.934,0.0845031324445891 - 0.03214662552451379im
0.935,0.08457016632192509 - 0.03219045359167705im
0.936,0.08463715637815562 - 0.03223428082163921im
0.937,0.08470410283571293 - 0.03227810672432918im
0.938,0.084771005909678 - 0.03232193191233522im
0.939,0.08483786558240193 - 0.03236575535447077im
0.94,0.08490468170094005 - 0.03240957789814874im
0.941,0.08497145473442326 - 0.032453398576839966im
0.942,0.08503818419313161 - 0.03249721875865337im
0.943,0.08510487062119841 - 0.03254103670112644im
0.944,0.0851715139156801 - 0.032584853329940114im
0.945,0.08523811423099106 - 0.03262866858383919im
0.946,0.0853046712969051 - 0.032672482065492225im
0.947,0.08537118559321347 - 0.032716293823395456im
0.948,0.08543765681659975 - 0.03276010384989382im
0.949,0.08550408549465238 - 0.03280391192518728im
0.95,0.08557047102735472 - 0.03284771808331506im
0.951,0.08563681422943466 - 0.032891522097391324im
0.952,0.08570311445161065 - 0.03293532412339838im
0.953,0.08576937228286836 - 0.03297912386354745im
0.954,0.08583558735187465 - 0.03302292174041556im
0.955,0.08590176025202907 - 0.03306671726903669im
0.956,0.08596789058626028 - 0.03311051024521543im
0.957,0.08603397854869219 - 0.03315430107734034im
0.958,0.0861000239540262 - 0.03319808933660333im
0.959,0.0861660274816916 - 0.03324187488006984im
0.96,0.08623198863755865 - 0.03328565813654567im
0.961,0.086297908080468 - 0.03332943831987878im
0.962,0.08636378500745696 - 0.03337321607328878im
0.963,0.08642962028325499 - 0.033416991039429786im
0.964,0.0864954132696099 - 0.03346076281331811im
0.965,0.086561164531242 - 0.03350453227299001im
0.966,0.08662687417403757 - 0.033548298091177334im
0.967,0.08669254197004903 - 0.03359206099957822im
0.968,0.08675816799280796 - 0.03363582132150178im
0.969,0.08682375250702701 - 0.03367957780115312im
0.97,0.08688929524799345 - 0.033723331449292945im
0.971,0.08695479669366206 - 0.033767081442333105im
0.972,0.08702025666755715 - 0.03381082796405378im
0.973,0.08708567527446098 - 0.03385457167808337im
0.974,0.08715105248238783 - 0.033898311410305124im
0.975,0.08721638860789027 - 0.03394204756910746im
0.976,0.08728168344250653 - 0.0339857801544877im
0.977,0.08734693706344461 - 0.034029509217496416im
0.978,0.08741214979497891 - 0.03407323429869624im
0.979,0.08747732140769052 - 0.03411695509179134im
0.98,0.08754245209570369 - 0.03416067261775986im
0.981,0.08760754198255073 - 0.034204385855623035im
0.982,0.08767259100352354 - 0.03424809526482253im
0.983,0.0877375993174506 - 0.034291800283823344im
0.984,0.08780256676550388 - 0.03433550147415616im
0.985,0.08786749376534235 - 0.034379198504008425im
0.986,0.08793238030814146 - 0.03442289088841459im
0.987,0.08799722605418646 - 0.03446657906129109im
0.988,0.08806203159025916 - 0.03451026286438434im
0.989,0.08812679656634899 - 0.03455394213434193im
0.99,0.0881915213354071 - 0.03459761723870969im
0.991,0.08825620578713633 - 0.03464128728923921im
0.992,0.08832085002889288 - 0.034684952643277714im
0.993,0.08838545419082712 - 0.03472861315277971im
0.994,0.08845001818911437 - 0.03477226933844122im
0.995,0.08851454264141757 - 0.034815920342643206im
0.996,0.08857902658006313 - 0.034859566737136305im
0.997,0.0886434709469889 - 0.03490320784296656im
0.998,0.08870787544108434 - 0.034946843946009665im
0.999,0.08877224025022158 - 0.034990475153464116im
1.0,0.08883656535123935 - 0.03503410078638751im
